ticket_id,source,category,subcategory,priority,sla_target_hours,created_at,closed_at,resolution_hours,status,description
10000,IKEA Perth,Network,Switch,Low,72,2025-05-13 08:37:00,2025-05-14 07:15:04.093070,22.6,Closed,Reported issue with switch causing intermittent failures.
10001,Perth Airport T4,Network,AP install,Medium,48,2025-05-13 15:26:00,2025-05-14 08:26:57.166250,17.0,Closed,"Access error related to ap install, needs privilege review."
10002,IKEA Perth,Hardware,Printer,Medium,48,2025-05-13 12:06:00,2025-05-14 04:13:34.809950,16.1,Closed,Reported issue with printer causing intermittent failures.
10003,UWA Lab A,Hardware,Laptop,High,24,2025-05-13 15:07:00,2025-05-14 15:39:31.830704,24.5,Closed,Deployment blocker: laptop fails post‑install validation.
10004,UWA Lab A,Network,Switch,Medium,48,2025-05-13 11:05:00,2025-05-14 12:33:57.132919,25.5,Closed,Reported issue with switch causing intermittent failures.
10005,UWA Lab A,Hardware,Scanner,Low,72,2025-05-13 17:17:00,2025-05-14 07:43:11.764796,14.4,Closed,Performance degradation observed on scanner during peak hours.
10006,IKEA Perth,Account,Password reset,Low,72,2025-05-14 15:14:00,2025-05-14 15:44:00,0.5,Closed,Reported issue with password reset causing intermittent failures.
10007,UWA Lab A,Network,WiFi,Medium,48,2025-05-14 16:56:00,2025-05-18 02:10:37.027768,81.2,Closed,WiFi not responding; user reports frequent timeouts.
10008,UWA Lab B,Account,MFA,Low,72,2025-05-14 16:27:00,2025-05-15 05:59:24.974607,13.5,Closed,Deployment blocker: mfa fails post‑install validation.
10009,UWA Lab B,Hardware,Desktop,Low,72,2025-05-14 17:10:00,2025-05-16 00:22:22.403099,31.2,Closed,Deployment blocker: desktop fails post‑install validation.
10010,UWA Lab B,Hardware,Scanner,Medium,48,2025-05-14 07:43:00,2025-05-14 21:14:32.260364,13.5,Closed,Performance degradation observed on scanner during peak hours.
10011,UWA Lab A,Install,Site survey,Low,72,2025-05-14 14:00:00,2025-05-15 10:42:37.754039,20.7,Closed,Performance degradation observed on site survey during peak hours.
10012,Perth Airport T4,Hardware,Desktop,High,24,2025-05-14 09:23:00,2025-05-15 04:24:59.411250,19.0,Closed,"Access error related to desktop, needs privilege review."
10013,UWA Lab A,Install,Cabling,Medium,48,2025-05-14 11:15:00,,,Open,"Access error related to cabling, needs privilege review."
10014,Perth Airport T4,Network,VPN,Urgent,8,2025-05-15 15:10:00,2025-05-17 00:31:16.871209,33.4,Closed,"Access error related to vpn, needs privilege review."
10015,IKEA Perth,Hardware,Desktop,Medium,48,2025-05-15 17:41:00,2025-05-16 11:02:54.830481,17.4,Closed,"Access error related to desktop, needs privilege review."
10016,IKEA Perth,Hardware,Desktop,Low,72,2025-05-15 07:04:00,2025-05-16 06:49:26.432687,23.8,Closed,Reported issue with desktop causing intermittent failures.
10017,UWA Lab A,Network,WiFi,Low,72,2025-05-15 17:31:00,2025-05-16 17:55:16.742976,24.4,Closed,WiFi not responding; user reports frequent timeouts.
10018,UWA Lab B,Account,Permissions,Low,72,2025-05-15 12:27:00,2025-05-15 14:35:41.443007,2.1,Closed,Performance degradation observed on permissions during peak hours.
10019,Perth Airport T4,Network,WiFi,Medium,48,2025-05-15 08:15:00,2025-05-16 11:17:12.230888,27.0,Closed,"Access error related to wifi, needs privilege review."
10020,IKEA Perth,Hardware,Scanner,Low,72,2025-05-15 15:06:00,,,Open,"Access error related to scanner, needs privilege review."
10021,IKEA Perth,Account,Password reset,Low,72,2025-05-15 10:55:00,2025-05-16 07:42:45.822710,20.8,Closed,Reported issue with password reset causing intermittent failures.
10022,UWA Lab A,Hardware,Scanner,High,24,2025-05-16 15:42:00,2025-05-17 14:22:35.616726,22.7,Closed,Scanner not responding; user reports frequent timeouts.
10023,Perth Airport T4,Network,AP install,Medium,48,2025-05-16 12:03:00,,,Open,Deployment blocker: ap install fails post‑install validation.
10024,Perth Airport T4,Hardware,Desktop,Urgent,8,2025-05-16 17:55:00,2025-05-17 22:29:12.431398,28.6,Closed,Reported issue with desktop causing intermittent failures.
10025,Perth Airport T4,Install,Rack,Medium,48,2025-05-16 16:36:00,2025-05-17 16:27:20.929956,23.9,Closed,Request to configure rack and verify connectivity.
10026,IKEA Perth,Network,Switch,Low,72,2025-05-16 08:00:00,2025-05-17 13:16:49.249265,29.3,Closed,"Access error related to switch, needs privilege review."
10027,IKEA Perth,Install,Cabling,Medium,48,2025-05-16 08:56:00,2025-05-18 04:49:09.191217,43.9,Closed,Request to configure cabling and verify connectivity.
10028,Perth Airport T4,Network,Switch,Medium,48,2025-05-16 11:07:00,2025-05-17 13:56:21.482178,26.8,Closed,Performance degradation observed on switch during peak hours.
10029,IKEA Perth,Network,Switch,Medium,48,2025-05-17 17:54:00,2025-05-18 15:13:23.516435,21.3,Closed,Deployment blocker: switch fails post‑install validation.
10030,Perth Airport T4,Hardware,Printer,Medium,48,2025-05-17 09:40:00,2025-05-18 04:31:41.510701,18.9,Closed,Printer not responding; user reports frequent timeouts.
10031,UWA Lab B,Account,Permissions,Medium,48,2025-05-17 09:34:00,,,Open,Request to configure permissions and verify connectivity.
10032,UWA Lab B,Hardware,Desktop,Low,72,2025-05-17 07:57:00,2025-05-17 19:33:05.556613,11.6,Closed,Performance degradation observed on desktop during peak hours.
10033,UWA Lab A,Network,WiFi,High,24,2025-05-17 13:39:00,2025-05-19 08:50:46.603791,43.2,Closed,WiFi not responding; user reports frequent timeouts.
10034,UWA Lab B,Install,Rack,Low,72,2025-05-17 17:55:00,2025-05-18 13:15:43.406274,19.3,Closed,Rack not responding; user reports frequent timeouts.
10035,UWA Lab B,Network,WiFi,High,24,2025-05-18 10:12:00,2025-05-19 12:01:39.268370,25.8,Closed,Deployment blocker: wifi fails post‑install validation.
10036,IKEA Perth,Hardware,Desktop,Low,72,2025-05-18 11:22:00,2025-05-19 05:26:19.561769,18.1,Closed,Deployment blocker: desktop fails post‑install validation.
10037,UWA Lab A,Account,Permissions,High,24,2025-05-18 09:37:00,2025-05-19 17:20:07.899909,31.7,Closed,Request to configure permissions and verify connectivity.
10038,UWA Lab A,Network,VPN,Medium,48,2025-05-18 13:57:00,2025-05-19 12:45:33.787607,22.8,Closed,Request to configure vpn and verify connectivity.
10039,IKEA Perth,Account,Password reset,Medium,48,2025-05-19 12:39:00,2025-05-20 17:37:43.019999,29.0,Closed,Reported issue with password reset causing intermittent failures.
10040,UWA Lab A,Account,MFA,Medium,48,2025-05-19 10:26:00,2025-05-19 14:09:41.136439,3.7,Closed,Deployment blocker: mfa fails post‑install validation.
10041,UWA Lab A,Account,Password reset,Medium,48,2025-05-19 11:18:00,2025-05-20 03:31:56.107370,16.2,Closed,"Access error related to password reset, needs privilege review."
10042,UWA Lab B,Account,MFA,Medium,48,2025-05-20 09:42:00,2025-05-20 19:14:09.231087,9.5,Closed,"Access error related to mfa, needs privilege review."
10043,UWA Lab A,Account,Permissions,Low,72,2025-05-20 10:43:00,2025-05-21 00:32:01.665717,13.8,Closed,Permissions not responding; user reports frequent timeouts.
